Transaction Date,Check Number,Description,Debit Amount,Credit Amount
11/21/2023,,11/20 H-E-B GAS/CAR W,31.15,0
11/20/2023,,VENMO,8.00,0
11/20/2023,,11/17 APPLE.COM/BILL,6.48,0
11/20/2023,,11/19 CHIPOTLE 0262,12.12,0
11/20/2023,,11/18 LEMONADE I* LEM,18.09,0
11/20/2023,,11/19 UBER   *EATS,28.79,0
11/20/2023,,11/19 H-E-B  #218,33.16,0
11/20/2023,,11/19 M VINCE NAIL SP,60.00,0
11/20/2023,,11/17 TST* GARBOS LOB,109.75,0
11/18/2023,,11/17 H-E-B  #218,12.72,0
11/18/2023,,11/17 MARY BETH HARR,20.00,0
11/18/2023,,11/17 GWCTX 1241,58.39,0
11/17/2023,,11/17 NETFLIX COM,21.64,0
11/17/2023,,11/16 H-E-B  #218,24.62,0
