7/14/2023,Dividend,EQ,O,0,1.28,0,0,REALTY INCOME CORP            CASH DIV  ON       5 SHS      REC 07/03/23 PAY 07/14/23     NON-QUALIFIED DIVIDEND
7/13/2023,Bought,EQ,O,2,-120.62,60.31,0,REALTY INCOME CORP
7/13/2023,Bought,EQ,SCHD,1,-73.58,73.58,0,SCHWAB STRATEGIC TR           US DIVIDEND EQUITY ETF        PROSPECTUS ON INITIAL PURCHASE
7/13/2023,Bought,EQ,VTI,1,-223.46,223.46,0,VANGUARD INDEX FUNDS          VANGUARD TOTAL STOCK MARKET   ETF                           PROSPECTUS ON INITIAL PURCHAS
7/13/2023,Transfer,UNKNOWN, ,0,400,0,0,ACH DEPOSIT                   REFID:84240143906;
7/5/2023,Dividend,EQ,VOO,0,4.73,0,0,VANGUARD S&P 500 ETF          CASH DIV  ON       3 SHS      REC 06/30/23 PAY 07/05/23     NON-QUALIFIED DIVIDEND
7/5/2023,Dividend,EQ,VIG,0,2.32,0,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           CASH DIV  ON       3 SHS
6/28/2023,Dividend,EQ,VUG,0,1.24,0,0,VANGUARD INDEX FUNDS          VANGUARD GROWTH ETF           CASH DIV  ON       3 SHS      REC 06/26/23 PAY 06/28/23
6/28/2023,Dividend,EQ,VTI,0,1.65,0,0,VANGUARD INDEX FUNDS          VANGUARD TOTAL STOCK MARKET   ETF                           CASH DIV  ON       2 SHS
6/26/2023,Dividend,EQ,SCHD,0,3.32,0,0,SCHWAB STRATEGIC TR           US DIVIDEND EQUITY ETF        CASH DIV  ON       5 SHS      REC 06/22/23 PAY 06/26/23
6/15/2023,Bought,EQ,O,5,-305.25,61.05,0,REALTY INCOME CORP
6/15/2023,Transfer,UNKNOWN, ,0,300,0,0,ACH DEPOSIT                   REFID:82172683906;
6/9/2023,Bought,EQ,VIG,1,-157.41,157.405,0,VANGUARD SPECIALIZED FUNDS    VANGUARD DIVIDEND APPRECIATIONETF                           PROSPECTUS ON INITIAL PURCHAS
6/9/2023,Bought,EQ,SCHD,5,-358.54,71.7086,0,SCHWAB STRATEGIC TR           US DIVIDEND EQUITY ETF        PROSPECTUS ON INITIAL PURCHASE
6/9/2023,Bought,EQ,VTI,2,-427.76,213.88,0,VANGUARD INDEX FUNDS          VANGUARD TOTAL STOCK MARKET   ETF                           PROSPECTUS ON INITIAL PURCHAS
6/9/2023,Sold,EQ,SCHG,-2,143.7,71.8528,0,SCHWAB STRATEGIC TR US LCAP   GR ETF
6/9/2023,Sold,EQ,SCHA,-3,129.2,43.07,0,SCHWAB STRATEGIC TR           US SMALL-CAP ETF
6/9/2023,Transfer,UNKNOWN, ,0,600,0,0,ACH DEPOSIT                   REFID:81728625906;
6/9/2023,Transfer,UNKNOWN, ,0,50,0,0,ACH DEPOSIT                   REFID:81794895906;
6/2/2023,Bought,EQ,VUG,1,-271.23,271.225,0,VANGUARD INDEX FUNDS          VANGUARD GROWTH ETF           PROSPECTUS ON INITIAL PURCHASE
