12/22/2023 0:00,Vanguard Real Estate Index Institutional,Employee 401(k) Account,Contributions - Employee,Purchase,19.23,0.551,10.59
12/22/2023 0:00,Vanguard Real Estate Index Institutional,Employer Matching Account,Contributions - Employer,Purchase,19.23,0.276,5.3
12/22/2023 0:00,Vanguard Institutional Index I,Employee 401(k) Account,Contributions - Employee,Purchase,398.34,0.186,74.14
12/22/2023 0:00,Vanguard Institutional Index I,Employer Matching Account,Contributions - Employer,Purchase,398.34,0.093,37.07
12/22/2023 0:00,Vanguard Small Cap Index I,Employee 401(k) Account,Contributions - Employee,Purchase,102.33,0.31,31.77
12/22/2023 0:00,Vanguard Small Cap Index I,Employer Matching Account,Contributions - Employer,Purchase,102.33,0.155,15.89
12/22/2023 0:00,Vanguard Total Intl Stock Index I,Employee 401(k) Account,Contributions - Employee,Purchase,122.71,0.604,74.14
12/22/2023 0:00,Vanguard Total Intl Stock Index I,Employer Matching Account,Contributions - Employer,Purchase,122.71,0.302,37.06
12/22/2023 0:00,Vanguard Windsor II Admiral,Employee 401(k) Account,Contributions - Employee,Purchase,75.71,0.28,21.18
12/22/2023 0:00,Vanguard Windsor II Admiral,Employer Matching Account,Contributions - Employer,Purchase,75.71,0.14,10.59
12/21/2023 0:00,Fidelity Inflation-Prot Bd Index,Employee 401(k) Account,Dividends/Capital Gains,Cash Receipts,9.06,0,5.17
12/21/2023 0:00,Fidelity Inflation-Prot Bd Index,Employee 401(k) Account,Dividends/Capital Gains,Purchase,9.06,0.571,5.17
12/21/2023 0:00,Fidelity Inflation-Prot Bd Index,Employer Matching Account,Dividends/Capital Gains,Cash Receipts,9.06,0,1.88
12/21/2023 0:00,Fidelity Inflation-Prot Bd Index,Employer Matching Account,Dividends/Capital Gains,Purchase,9.06,0.207,1.88
12/20/2023 0:00,Vanguard Real Estate Index Institutional,Employee 401(k) Account,Dividends/Capital Gains,Cash Receipts,18.98,0,4.07
12/20/2023 0:00,Vanguard Real Estate Index Institutional,Employee 401(k) Account,Dividends/Capital Gains,Purchase,18.98,0.215,4.07
12/20/2023 0:00,Vanguard Real Estate Index Institutional,Employer Matching Account,Dividends/Capital Gains,Cash Receipts,18.98,0,1.5
12/20/2023 0:00,Vanguard Real Estate Index Institutional,Employer Matching Account,Dividends/Capital Gains,Purchase,18.98,0.079,1.5
12/20/2023 0:00,Vanguard Small Cap Index I,Employee 401(k) Account,Dividends/Capital Gains,Cash Receipts,100.16,0,5.23
12/20/2023 0:00,Vanguard Small Cap Index I,Employee 401(k) Account,Dividends/Capital Gains,Purchase,100.16,0.052,5.23
12/20/2023 0:00,Vanguard Small Cap Index I,Employer Matching Account,Dividends/Capital Gains,Cash Receipts,100.16,0,1.9
12/20/2023 0:00,Vanguard Small Cap Index I,Employer Matching Account,Dividends/Capital Gains,Purchase,100.16,0.019,1.9
12/19/2023 0:00,Vanguard Windsor II Admiral,Employee 401(k) Account,Dividends/Capital Gains,Cash Receipts,75.59,0,17.76
12/19/2023 0:00,Vanguard Windsor II Admiral,Employee 401(k) Account,Dividends/Capital Gains,Purchase,75.59,0.235,17.76
12/19/2023 0:00,Vanguard Windsor II Admiral,Employee 401(k) Account,Dividends/Capital Gains,Cash Receipts,75.59,0,6.23
12/19/2023 0:00,Vanguard Windsor II Admiral,Employee 401(k) Account,Dividends/Capital Gains,Purchase,75.59,0.082,6.23
12/19/2023 0:00,Vanguard Windsor II Admiral,Employee 401(k) Account,Dividends/Capital Gains,Cash Receipts,75.59,0,5.46
12/19/2023 0:00,Vanguard Windsor II Admiral,Employee 401(k) Account,Dividends/Capital Gains,Purchase,75.59,0.072,5.46
12/19/2023 0:00,Vanguard Windsor II Admiral,Employer Matching Account,Dividends/Capital Gains,Cash Receipts,75.59,0,6.35
12/19/2023 0:00,Vanguard Windsor II Admiral,Employer Matching Account,Dividends/Capital Gains,Purchase,75.59,0.084,6.35
12/19/2023 0:00,Vanguard Windsor II Admiral,Employer Matching Account,Dividends/Capital Gains,Cash Receipts,75.59,0,2.23
12/19/2023 0:00,Vanguard Windsor II Admiral,Employer Matching Account,Dividends/Capital Gains,Purchase,75.59,0.029,2.23
12/19/2023 0:00,Vanguard Windsor II Admiral,Employer Matching Account,Dividends/Capital Gains,Cash Receipts,75.59,0,1.95
12/19/2023 0:00,Vanguard Windsor II Admiral,Employer Matching Account,Dividends/Capital Gains,Purchase,75.59,0.026,1.95
